道本语,正字,释义-toki_ante专用标识
a,丫,啊、嗯、唔
akesi,虺,爬虫类
ala,非,无、不、非
alasa,猎,打猎、寻找
ale,凣,所有的、一百
ali,凡,每件事
anpa,下,地、深、低、打败
ante,异,不同、其它
anu,或,或
awen,待,持续、等待、继续
,,
e,把,【主语 li 动词 e 受词】（直接宾语标记）
en,与,和、与
esun,市,市场、商店
,,
ijo,什,一些事、任何事、事、材料
ike,歹,坏的、恶的、复杂的、费解的
ilo,具,工具、仪器、装置
insa,内,里面、内部、肚子
,,
jaki,丑,脏的、丑的、有害的
jan,人,人
jelo,黄,黄色
jo,有,有、所有权
,,
kala,鱼,鱼、水生动物
kalama,声,声音、噪音、背诵
kama,至,来、发生、引起、导致
kasi,木,植物
ken,可,能、可以、有可能
kepeken,用,用、以、和
kili,果,蔬菜、水果
kin,亦,也
kiwen,石,硬的、固体、石头
ko,膏,胶水、粘性物质
kon,空,空气、风气流
kule,色,颜色
kulupu,团,团队、组合、居民、区域
kute,听,耳朵、聆听、遵守
,,
la,然,当 【情境 la 主词】
lape,眠,睡觉
laso,兰,蓝色
lawa,首,主要的、知道的、头
len,衣,衣服、覆盖
lete,冰,冷、冻
,,
li,者,【主语 li 谓语】（谓语标记）
lili,小,小的
linja,丝,线、丝、头发
lipu,页,纸、页、票、单
loje,丹,红色
lon,于,在
luka,手,五、手、臂
lukin,见,看、视力、视野
lupa,孔,洞、孔、口、嘴、窗、门
,,
ma,地,土地、地球、国家
mama,亲,父母
mani,币,钱、货币、流传、传播
mi,吾,我
mije,男,男性、雄性
meli,女,女性、雌性
moku,食,吃、喝、食物
moli,亡,死、杀、死的
monsi,后,背后、背部、后面
mu,叫,动物的叫声
mun,月,月亮
musi,乐,娱乐、找乐子、游戏
mute,多,复数、很多的
,,
nanpa,数,数、数量、号码、
nasa,狂,疯的、蠢的、离奇的
nasin,道,路、方法、教条、声明
ni,其,这个、那个
nimi,名,名字、世界
nena,山,山丘、山、底部、鼻子
noka,足,腿、脚
,,
o,乎,（呼格或祈使语气）
oko,目,眼睛
olin,爱,深爱
ona,他,他、她、它
open,开,打开、开始、开工
,,
pakala,崩,破坏、毁坏、意外
pali,作,做、造、工作、活动
palisa,笞,棍棒、杆子、鞭子、惩罚
pan,米,粮食、谷物；面包、面食
pana,出,给、借、释放、放行
pi,之,【主词 pi 主修饰 修饰】（修饰片语标记）
pipi,虫,虫子
pilin,心,感觉、情绪、心脏
pimeja,黑,黑色
,,
pini,闭,关闭、结束、停止
poka,边,旁边、侧面、面、附近
poki,皿,容器、碗、玻璃、杯、盒子
pona,良,好的、简单的、有用的
,,
sama,同,一样
seli,火,暖的、热的
selo,皮,皮肤、表面
seme,何,什么、哪？
sewi,上,高的、优良的、天
sijelo,体,身体
sike,轮,圆、球、环、轮、年
sin,新,新、另一个、更多
sina,尔,你
sinpin,垣,墙、胸
sitelen,书,画、图、绘、写
sona,知,知道、智慧
soweli,兽,哺乳动物
suli,大,大、高、长、重要
supa,案,横向平面、平台、家具、桌子、椅子
suwi,甘,甜、可爱、糖
suno,日,太阳、光
,,
tan,由,引起、导致、理由，来自
taso,惟,但是、仅仅、只
tawa,去,去、移动、为了
telo,水,水、液体
tenpo,辰,时间
toki,言,嘿、语言、说、讲
tomo,室,房子、建筑
tu,二,二、分开、分割
,,
unpa,性,性别、性感
uta,口,嘴巴
utala,斗,战争、战役、打架
,,
walo,白,白色
wan,一,一、合并、联合、团结
waso,鸟,鸟，有翅膀的动物
wawa,力,壮、强烈、活力、精力
weka,去,离开、移动、除去
wile,欲,需要，欲望
,,
lanpan,拿,拿、抓、抢、偷
meso,中,平均、中间的
n,嗯,嗯
